iter	RMSE
0	1.566246318
1	1.552342963
2	1.542945062
3	1.529761834
4	1.520542561
5	1.508798655
6	1.499718001
7	1.490358202
8	1.480619159
9	1.472676497
10	1.465229182
11	1.455776054
12	1.448901908
13	1.44083927
14	1.432585485
15	1.425297842
16	1.418911983
17	1.412275896
18	1.40575366
19	1.399823777
20	1.397257584
21	1.392834272
22	1.386323173
23	1.381672549
24	1.377416597
25	1.372488403
26	1.368185009
27	1.363622539
28	1.3610155
29	1.356376245
30	1.354636719
31	1.350598814
32	1.346326228
33	1.340174829
34	1.335647972
35	1.331147466
36	1.327983633
37	1.324371414
38	1.319981372
39	1.316799225
40	1.313435296
41	1.311795014
42	1.309122721
43	1.305171145
44	1.30226127
45	1.299117483
46	1.297732735
47	1.295474736
48	1.292398718
49	1.288853584
50	1.286445334
51	1.283980348
52	1.282362932
53	1.279363673
54	1.277225387
55	1.274905435
56	1.272928949
57	1.2710602
58	1.268968015
59	1.267023019
60	1.26480897
61	1.26330064
62	1.261144053
63	1.258843848
64	1.256749947
65	1.254872706
66	1.25295591
67	1.250417863
68	1.249244852
69	1.248761004
70	1.24720326
71	1.244672912
72	1.243599911
73	1.242178961
74	1.240939122
75	1.240145838
76	1.237801731
77	1.236379079
78	1.234513537
79	1.234058527
80	1.231098629
81	1.23025612
82	1.228356817
83	1.227177543
84	1.224963121
85	1.223240277
86	1.221367171
87	1.220241868
88	1.218681801
89	1.216902521
90	1.21467352
91	1.21319683
92	1.211311046
93	1.210525047
94	1.208995423
95	1.206807807
96	1.204998367
97	1.203406629
98	1.202754698
99	1.200657378
100	1.199419703
101	1.198455984
102	1.196450188
103	1.194590717
104	1.193488997
105	1.192711019
106	1.190536108
107	1.188143952
108	1.186628576
109	1.185407394
110	1.183644126
111	1.182769115
112	1.180963949
113	1.179874717
114	1.178597478
115	1.177756722
116	1.176508335
117	1.17548549
118	1.17412406
119	1.172759807
120	1.171220079
121	1.169501385
122	1.16852634
123	1.167121915
124	1.165932931
125	1.165029212
126	1.163852373
127	1.162294468
128	1.161033873
129	1.159907765
130	1.157710545
131	1.156951557
132	1.155398034
133	1.154102272
134	1.153667398
135	1.152703327
136	1.151189138
137	1.148740564
138	1.147475218
139	1.146634669
140	1.146113508
141	1.14466299
142	1.142461709
143	1.139750605
144	1.137740898
145	1.135577025
146	1.134148255
147	1.132744258
148	1.131484332
149	1.130640823
150	1.129030636
151	1.127198026
152	1.126013355
153	1.125076059
154	1.12375913
155	1.122519064
156	1.121759791
157	1.119919812
158	1.117480478
159	1.116688171
160	1.115936046
161	1.114074122
162	1.112768702
163	1.112078441
164	1.111408367
165	1.110407024
166	1.107658866
167	1.105979391
168	1.104269214
169	1.102059525
170	1.100095232
171	1.099689891
172	1.098452091
173	1.097476316
174	1.09699012
175	1.094918861
176	1.092952685
177	1.091944546
178	1.090725582
179	1.089546727
180	1.087860028
181	1.086127785
182	1.085263699
183	1.083560254
184	1.082615098
185	1.082025898
186	1.080841189
187	1.078972644
188	1.078216618
189	1.076364447
190	1.073937099
191	1.07331835
192	1.071101993
193	1.069806428
194	1.068422515
195	1.066723404
196	1.066463879
197	1.064384116
198	1.063586138
199	1.062210306
200	1.061521275
201	1.060251274
202	1.059486222
203	1.058095306
204	1.055885628
205	1.054982679
206	1.054130074
207	1.052703125
208	1.051695208
209	1.050959402
210	1.049876496
211	1.048216993
212	1.046846137
213	1.045510594
214	1.044461125
215	1.043515616
216	1.042536898
217	1.041688918
218	1.040188093
219	1.039750161
220	1.039098245
221	1.038586913
222	1.037785457
223	1.036668928
224	1.035714992
225	1.034315474
226	1.033371737
227	1.032663727
228	1.031535981
229	1.031163983
230	1.029771197
231	1.028680379
232	1.026700102
233	1.025276637
234	1.024942064
235	1.024125665
236	1.023258838
237	1.02143483
238	1.020299692
239	1.018610429
240	1.018112386
241	1.017398172
242	1.017124418
243	1.016805605
244	1.015650757
245	1.013896492
246	1.012482335
247	1.012226027
248	1.010676158
249	1.008713395
250	1.006565825
251	1.006164751
252	1.00513191
253	1.003501855
254	1.001527375
255	1.00040482
256	0.9990216092
257	0.9973310837
258	0.9961130392
259	0.9950106733
260	0.9946448129
261	0.9935565894
262	0.9929450258
263	0.9903336505
264	0.9898414351
265	0.9889563726
266	0.9864546139
267	0.9846696195
268	0.983448573
269	0.9832066678
270	0.9828372927
271	0.9814598178
272	0.9805764642
273	0.9790486332
274	0.9777694501
275	0.9759025789
276	0.9740283376
277	0.9736537804
278	0.9723712642
279	0.97110349
280	0.9704395406
281	0.9695910522
282	0.9681546374
283	0.967936571
284	0.9666668484
285	0.9654095056
286	0.963978135
287	0.963152378
288	0.9623288235
289	0.9605231272
290	0.9602272479
291	0.9584863815
292	0.9569042066
293	0.9560939158
294	0.9553292589
295	0.9539975124
296	0.9525766739
297	0.9521435561
298	0.9505757894
299	0.9488777181
300	0.9472207117
301	0.9461868731
302	0.9452421861
303	0.9438105022
304	0.9426049962
305	0.9415945805
306	0.941398128
307	0.9401440958
308	0.9382814368
309	0.9362749525
310	0.9349613926
311	0.933727632
312	0.9321174262
313	0.9305378839
314	0.9287998245
315	0.9278902017
316	0.9263898436
317	0.9254635445
318	0.924755042
319	0.9239876724
320	0.9229819896
321	0.9210916014
322	0.9196217629
323	0.9188419217
324	0.9178726743
325	0.9168453671
326	0.9155179005
327	0.9147258204
328	0.9137609998
329	0.9125274891
330	0.9114322349
331	0.9105678415
332	0.9090627297
333	0.9078994957
334	0.9072230791
335	0.9058280085
336	0.9049143159
337	0.9039495124
338	0.9030374112
339	0.9021692066
340	0.900052399
341	0.898590446
342	0.8970275486
343	0.8960729614
344	0.8946716299
345	0.8931907044
346	0.8918422968
347	0.8902491172
348	0.8886228296
349	0.887812944
350	0.8865659902
351	0.8859725481
352	0.885034869
353	0.8842375876
354	0.8829053771
355	0.8821094612
356	0.8812425344
357	0.8800435612
358	0.8785352874
359	0.8773601616
360	0.8760837265
361	0.8752184634
362	0.8744080538
363	0.8738671665
364	0.87348226
365	0.8722350215
366	0.8718528907
367	0.8711170011
368	0.869933962
369	0.8685971642
370	0.8672572519
371	0.8668361649
372	0.865650609
373	0.8648831028
374	0.8641333652
375	0.8629010007
376	0.8621921728
377	0.8610678273
378	0.860377485
379	0.8595729239
380	0.8589239197
381	0.8571268926
382	0.8559861953
383	0.8549771054
384	0.8545987948
385	0.853420679
386	0.8526872429
387	0.8506416373
388	0.8494413206
389	0.8486804722
390	0.848306771
391	0.8478486534
392	0.8470381144
393	0.8457544252
394	0.8443848055
395	0.842869179
396	0.8418252969
397	0.8413027342
398	0.8406020255
399	0.8397855635
400	0.8386654665
401	0.8370433772
402	0.836311535
403	0.8352370672
404	0.8344647869
405	0.8340117539
406	0.833468845
407	0.8324116885
408	0.8312300299
409	0.8302022106
410	0.8294397832
411	0.8285229094
412	0.827503985
413	0.8261792183
414	0.8251235977
415	0.8239489785
416	0.8233279425
417	0.8222551984
418	0.821694415
419	0.8203577
420	0.8196190488
421	0.819325332
422	0.8187320001
423	0.8182240971
424	0.816978843
425	0.8164299072
426	0.814992799
427	0.8146502389
428	0.8139353532
429	0.8129334464
430	0.8117779878
431	0.8106837468
432	0.8095637504
433	0.8085738036
434	0.8079899553
435	0.806362104
436	0.8053252329
437	0.8036074026
438	0.8030292314
439	0.801809321
440	0.8003099222
441	0.7989646587
442	0.7983755301
443	0.7972628088
444	0.7967933046
445	0.7960851323
446	0.7953469423
447	0.794500011
448	0.7939417049
449	0.7930889099
450	0.7924890558
451	0.7917606636
452	0.7912538104
453	0.7902976962
454	0.789795153
455	0.7890775793
456	0.7887694731
457	0.788035688
458	0.7865927507
459	0.7861768286
460	0.7851130983
461	0.7839627633
462	0.7826472858
463	0.7824004675
464	0.7815763732
465	0.7808731829
466	0.7794707201
467	0.7785273591
468	0.7780081206
469	0.7772253288
470	0.7762628287
471	0.7753330672
472	0.7741856759
473	0.7729459984
474	0.7720222846
475	0.7711594055
476	0.7703894285
477	0.7696600473
478	0.7686637059
479	0.7680773935
480	0.7673829547
481	0.7667956779
482	0.7655123633
483	0.7641695795
484	0.762615335
485	0.7622077265
486	0.7614021306
487	0.7612496325
488	0.7604582473
489	0.7595710925
490	0.7584442016
491	0.7571164118
492	0.7568820293
493	0.7568007929
494	0.7555446983
495	0.7552648318
496	0.7540652629
497	0.7531657871
498	0.7524895214
499	0.7512840648
500	0.750686411
501	0.7499234027
502	0.7497836019
503	0.7488157436
504	0.7478592607
505	0.7469703264
506	0.7462815095
507	0.7461656801
508	0.7455752671
509	0.7441040008
510	0.7435516905
511	0.7424768657
512	0.7416573403
513	0.7406890359
514	0.73986111
515	0.7391399851
516	0.7388637688
517	0.7378942818
518	0.7371938634
519	0.7358608592
520	0.7342413831
521	0.7334746323
522	0.7325533125
523	0.7318346297
524	0.7308192893
525	0.7296111966
526	0.7288600261
527	0.7281021222
528	0.7278892769
529	0.727081278
530	0.7269009892
531	0.7260761226
532	0.7251451798
533	0.7245170146
534	0.7239632045
535	0.7235171371
536	0.7229671498
537	0.7223218269
538	0.7216474905
539	0.7206209685
540	0.719652879
541	0.7192595977
542	0.7183984198
543	0.7182057137
544	0.718000836
545	0.7170909297
546	0.7166842022
547	0.7163465994
548	0.7157492221
549	0.7150978893
550	0.7145458777
551	0.7140514408
552	0.713162031
553	0.712684416
554	0.7120647555
555	0.711602674
556	0.7113236185
557	0.7101968209
558	0.7093734349
559	0.7090902522
560	0.7083857357
561	0.7077987677
562	0.7072494641
563	0.7067099616
564	0.7063187916
565	0.7060379768
566	0.705844968
567	0.7050842413
568	0.7043982837
569	0.7038843486
570	0.7037740898
571	0.7024423857
572	0.7018129172
573	0.7015079282
574	0.7008101246
575	0.7000845077
576	0.6992426114
577	0.6986832522
578	0.6986169218
579	0.6978998718
580	0.6967410734
581	0.6961166164
582	0.6954486446
583	0.6951626778
584	0.694292662
585	0.6931939195
586	0.6923890195
587	0.6919153744
588	0.6908143453
589	0.6899972241
590	0.6895032318
591	0.6881104717
592	0.6873635587
593	0.6858748208
594	0.6845458217
