iter	Passed	Remaining
0	156	156617
1	159	79390
2	160	53408
3	162	40431
4	163	32619
5	165	27456
6	167	23739
7	168	20931
8	170	18762
9	172	17039
10	174	15681
11	176	14515
12	177	13511
13	179	12641
14	181	11896
15	182	11237
16	184	10664
17	186	10152
18	187	9700
19	189	9298
20	190	8882
21	192	8546
22	193	8239
23	195	7953
24	197	7687
25	198	7441
26	200	7223
27	202	7019
28	203	6821
29	205	6651
30	207	6480
31	209	6325
32	210	6177
33	212	6037
34	214	5901
35	215	5777
36	217	5656
37	218	5541
38	220	5430
39	222	5328
40	223	5229
41	225	5137
42	226	5047
43	228	4965
44	230	4884
45	232	4816
46	233	4729
47	235	4664
48	237	4603
49	238	4537
50	240	4476
51	242	4414
52	243	4354
53	245	4296
54	247	4245
55	248	4193
56	250	4148
57	252	4107
58	254	4055
59	255	4009
60	257	3964
61	259	3923
62	261	3882
63	262	3839
64	264	3802
65	265	3760
66	268	3733
67	269	3693
68	271	3661
69	272	3614
70	273	3582
71	275	3546
72	277	3519
73	278	3488
74	280	3457
75	282	3428
76	283	3400
77	285	3373
78	286	3342
79	288	3320
80	290	3297
81	292	3269
82	294	3252
83	296	3232
84	297	3206
85	300	3188
86	302	3171
87	303	3145
88	305	3126
89	306	3101
90	308	3084
91	310	3062
92	311	3040
93	313	3020
94	315	3001
95	316	2981
96	318	2961
97	319	2942
98	321	2922
99	322	2903
100	324	2888
101	326	2870
102	327	2854
103	329	2838
104	331	2822
105	332	2808
106	334	2792
107	336	2778
108	338	2766
109	339	2748
110	341	2734
111	342	2718
112	344	2706
113	346	2695
114	348	2679
115	349	2666
116	351	2650
117	353	2640
118	354	2627
119	356	2613
120	358	2601
121	359	2587
122	361	2577
123	363	2566
124	364	2554
125	366	2541
126	368	2530
127	369	2517
128	371	2507
129	372	2495
130	374	2484
131	375	2471
132	377	2460
133	379	2451
134	380	2440
135	382	2430
136	383	2418
137	385	2408
138	387	2397
139	388	2386
140	390	2377
141	391	2366
142	393	2356
143	395	2350
144	396	2340
145	398	2332
146	400	2322
147	401	2313
148	403	2303
149	404	2293
150	406	2283
151	407	2274
152	409	2268
153	411	2259
154	412	2249
155	414	2240
156	415	2231
157	417	2223
158	418	2214
159	420	2205
160	421	2197
161	423	2188
162	424	2180
163	426	2174
164	427	2165
165	429	2157
166	430	2149
167	432	2141
168	433	2133
169	435	2125
170	436	2118
171	438	2110
172	439	2103
173	441	2097
174	443	2089
175	444	2082
176	446	2075
177	447	2067
178	449	2060
179	450	2053
180	452	2046
181	453	2040
182	455	2033
183	457	2027
184	458	2020
185	460	2013
186	461	2007
187	463	2001
188	464	1994
189	466	1987
190	467	1981
191	469	1975
192	470	1969
193	472	1962
194	474	1957
195	475	1951
196	477	1945
197	478	1939
198	480	1933
199	481	1927
200	483	1923
201	485	1917
202	486	1911
203	488	1905
204	490	1900
205	491	1894
206	493	1889
207	494	1883
208	496	1877
209	497	1872
210	499	1866
211	500	1861
212	502	1855
213	503	1850
214	505	1846
215	507	1840
216	508	1835
217	510	1829
218	511	1824
219	513	1819
220	514	1814
221	516	1808
222	517	1803
223	519	1798
224	520	1794
225	522	1789
226	523	1784
227	525	1779
228	530	1784
229	531	1779
230	533	1774
231	534	1769
232	536	1765
233	537	1760
234	539	1755
235	540	1750
236	542	1745
237	545	1746
238	546	1741
239	548	1737
240	550	1732
241	551	1727
242	553	1723
243	554	1718
244	556	1714
245	557	1709
246	559	1705
247	560	1700
248	562	1696
249	563	1691
250	565	1687
251	566	1682
252	568	1679
253	570	1674
254	571	1670
255	573	1665
256	574	1661
257	576	1657
258	577	1653
259	579	1649
260	580	1644
261	582	1640
262	584	1636
263	585	1632
264	587	1628
265	588	1624
266	590	1620
267	591	1616
268	593	1612
269	594	1607
270	596	1603
271	597	1599
272	599	1595
273	600	1592
274	602	1588
275	604	1584
276	605	1580
277	607	1576
278	608	1572
279	610	1569
280	611	1565
281	613	1561
282	614	1557
283	616	1554
284	618	1551
285	619	1547
286	621	1543
287	622	1539
288	624	1535
289	625	1531
290	627	1528
291	628	1524
292	630	1520
293	632	1518
294	633	1514
295	635	1510
296	636	1507
297	638	1503
298	639	1500
299	641	1496
300	642	1493
301	644	1489
302	645	1485
303	647	1483
304	649	1479
305	650	1476
306	652	1472
307	653	1469
308	655	1465
309	657	1462
310	658	1458
311	660	1455
312	661	1452
313	663	1449
314	665	1446
315	666	1442
316	668	1439
317	669	1435
318	671	1432
319	672	1429
320	674	1426
321	675	1422
322	677	1419
323	679	1416
324	680	1413
325	682	1410
326	683	1407
327	685	1403
328	686	1400
329	688	1397
330	689	1394
331	691	1390
332	693	1388
333	695	1386
334	696	1383
335	698	1380
336	700	1377
337	702	1374
338	704	1372
339	705	1369
340	707	1367
341	709	1364
342	711	1361
343	712	1358
344	714	1355
345	715	1352
346	717	1349
347	718	1346
348	720	1343
349	722	1341
350	724	1338
351	725	1335
352	727	1333
353	728	1330
354	730	1327
355	731	1324
356	733	1321
357	734	1318
358	736	1315
359	738	1312
360	739	1309
361	741	1306
362	743	1303
363	744	1300
364	746	1297
365	747	1294
366	749	1291
367	750	1289
368	752	1286
369	753	1283
370	755	1280
371	756	1277
372	758	1275
373	760	1272
374	761	1269
375	763	1266
376	764	1263
377	766	1260
378	767	1258
379	769	1255
380	770	1252
381	772	1249
382	774	1247
383	776	1244
384	777	1241
385	779	1239
386	780	1236
387	782	1233
388	783	1230
389	785	1228
390	786	1225
391	788	1222
392	790	1220
393	791	1217
394	793	1214
395	794	1212
396	796	1209
397	797	1206
398	799	1203
399	800	1201
400	802	1198
401	803	1195
402	805	1193
403	807	1190
404	808	1188
405	810	1185
406	811	1182
407	813	1180
408	814	1177
409	816	1174
410	817	1172
411	819	1169
412	821	1167
413	822	1164
414	824	1162
415	826	1159
416	827	1157
417	829	1154
418	830	1152
419	832	1149
420	833	1146
421	835	1144
422	837	1142
423	838	1139
424	840	1136
425	841	1134
426	843	1131
427	844	1129
428	846	1126
429	847	1124
430	849	1121
431	851	1118
432	852	1116
433	854	1114
434	856	1111
435	857	1109
436	859	1106
437	860	1104
438	862	1101
439	863	1099
440	865	1096
441	866	1094
442	868	1092
443	870	1089
444	871	1087
445	873	1084
446	874	1082
447	876	1079
448	878	1077
449	879	1075
450	881	1072
451	882	1070
452	884	1068
453	886	1065
454	887	1063
455	889	1060
456	892	1060
457	894	1058
458	895	1055
459	897	1053
460	898	1050
461	900	1048
462	902	1046
463	903	1043
464	905	1041
465	906	1039
466	908	1036
467	909	1034
468	911	1031
469	913	1029
470	914	1027
471	916	1025
472	918	1022
473	919	1020
474	921	1018
475	922	1015
476	924	1013
477	925	1011
478	927	1008
479	928	1006
480	930	1004
481	932	1001
482	933	999
483	935	997
484	936	994
485	938	992
486	940	990
487	941	987
488	943	985
489	944	983
490	946	980
491	948	978
492	949	976
493	951	974
494	952	971
495	954	969
496	955	967
497	957	964
498	958	962
499	960	960
500	961	958
501	963	956
502	965	953
503	966	951
504	968	949
505	969	946
506	971	944
507	973	942
508	974	940
509	976	937
510	977	935
511	979	933
512	981	931
513	982	929
514	984	926
515	985	924
516	987	922
517	988	920
518	990	917
519	992	915
520	993	913
521	995	911
522	997	909
523	998	907
524	1000	905
525	1001	902
526	1003	900
527	1005	898
528	1006	896
529	1008	893
530	1009	891
531	1011	889
532	1013	887
533	1014	885
534	1016	883
535	1017	881
536	1019	878
537	1020	876
538	1022	874
539	1023	872
540	1025	870
541	1027	868
542	1028	865
543	1030	863
544	1031	861
545	1033	859
546	1034	857
547	1036	854
548	1037	852
549	1039	850
550	1041	848
551	1042	846
552	1044	844
553	1045	841
554	1047	839
555	1048	837
556	1050	835
557	1052	833
558	1053	831
559	1055	828
560	1056	826
561	1058	824
562	1059	822
563	1061	820
564	1062	818
565	1064	816
566	1066	814
567	1067	812
568	1069	809
569	1070	807
570	1072	805
571	1074	803
572	1075	801
573	1077	799
574	1078	797
575	1080	795
576	1081	793
577	1083	790
578	1084	788
579	1086	786
580	1087	784
581	1089	782
582	1091	780
583	1092	778
584	1094	776
585	1095	774
586	1097	772
587	1098	769
588	1100	767
589	1102	765
590	1103	763
591	1105	761
592	1106	759
593	1108	757
594	1109	755
595	1111	753
596	1113	751
597	1114	749
598	1116	747
599	1117	745
600	1119	743
601	1120	740
602	1122	738
603	1123	736
604	1125	734
605	1126	732
606	1128	730
607	1130	728
608	1131	726
609	1133	724
610	1135	722
611	1136	720
612	1138	718
613	1140	716
614	1141	714
615	1143	712
616	1144	710
617	1146	708
618	1147	706
619	1149	704
620	1150	702
621	1152	700
622	1154	698
623	1155	696
624	1157	694
625	1158	692
626	1160	690
627	1162	688
628	1163	686
629	1165	684
630	1166	682
631	1168	680
632	1170	678
633	1171	676
634	1173	674
635	1174	672
636	1176	670
637	1178	668
638	1179	666
639	1181	664
640	1182	662
641	1184	660
642	1186	658
643	1187	656
644	1188	654
645	1190	652
646	1192	650
647	1193	648
648	1195	646
649	1196	644
650	1198	642
651	1200	640
652	1201	638
653	1203	636
654	1204	634
655	1206	632
656	1207	630
657	1209	628
658	1210	626
659	1212	624
660	1214	622
661	1215	620
662	1217	618
663	1218	616
664	1220	614
665	1222	612
666	1223	610
667	1225	608
668	1226	606
669	1228	604
670	1229	602
671	1231	601
672	1233	599
673	1234	597
674	1236	595
675	1237	593
676	1239	591
677	1240	589
678	1242	587
679	1243	585
680	1245	583
681	1247	581
682	1249	579
683	1250	577
684	1252	575
685	1253	573
686	1255	571
687	1256	569
688	1258	567
689	1259	565
690	1261	564
691	1263	562
692	1264	560
693	1266	558
694	1267	556
695	1269	554
696	1270	552
697	1272	550
698	1273	548
699	1275	546
700	1277	544
701	1278	542
702	1280	540
703	1281	538
704	1283	536
705	1284	535
706	1286	533
707	1287	531
708	1289	529
709	1290	527
710	1292	525
711	1294	523
712	1296	521
713	1297	519
714	1299	517
715	1300	515
716	1302	514
717	1303	512
718	1305	510
719	1307	508
720	1308	506
721	1310	504
722	1312	502
723	1313	500
724	1315	498
725	1316	496
726	1318	495
727	1319	493
728	1321	491
729	1323	489
730	1324	487
731	1326	485
732	1328	483
733	1329	481
734	1331	480
735	1332	478
736	1334	476
737	1336	474
738	1337	472
739	1339	470
740	1341	468
741	1343	467
742	1344	465
743	1346	463
744	1347	461
745	1349	459
746	1351	457
747	1352	455
748	1354	453
749	1355	451
750	1357	450
751	1359	448
752	1360	446
753	1362	444
754	1364	442
755	1365	440
756	1367	438
757	1368	436
758	1370	435
759	1371	433
760	1373	431
761	1375	429
762	1376	427
763	1378	425
764	1379	423
765	1381	422
766	1383	420
767	1384	418
768	1386	416
769	1387	414
770	1389	412
771	1391	410
772	1392	409
773	1394	407
774	1395	405
775	1397	403
776	1398	401
777	1400	399
778	1401	397
779	1403	395
780	1405	394
781	1406	392
782	1408	390
783	1409	388
784	1411	386
785	1412	384
786	1414	382
787	1416	380
788	1417	379
789	1419	377
790	1420	375
791	1422	373
792	1423	371
793	1425	369
794	1427	368
795	1428	366
796	1430	364
797	1432	362
798	1433	360
799	1435	358
800	1437	357
801	1438	355
802	1440	353
803	1441	351
804	1443	349
805	1444	347
806	1446	345
807	1447	344
808	1454	343
809	1456	341
810	1458	339
811	1459	337
812	1461	336
813	1462	334
814	1464	332
815	1465	330
816	1467	328
817	1468	326
818	1470	324
819	1472	323
820	1473	321
821	1475	319
822	1476	317
823	1478	315
824	1479	313
825	1481	312
826	1482	310
827	1484	308
828	1486	306
829	1487	304
830	1489	302
831	1490	301
832	1492	299
833	1494	297
834	1495	295
835	1497	293
836	1498	291
837	1501	290
838	1502	288
839	1504	286
840	1505	284
841	1507	282
842	1508	281
843	1510	279
844	1512	277
845	1513	275
846	1515	273
847	1517	271
848	1518	270
849	1520	268
850	1521	266
851	1523	264
852	1524	262
853	1526	260
854	1527	259
855	1529	257
856	1531	255
857	1533	253
858	1534	251
859	1536	250
860	1537	248
861	1539	246
862	1540	244
863	1542	242
864	1543	240
865	1545	239
866	1546	237
867	1548	235
868	1550	233
869	1551	231
870	1553	230
871	1555	228
872	1556	226
873	1558	224
874	1559	222
875	1561	221
876	1562	219
877	1564	217
878	1566	215
879	1567	213
880	1569	211
881	1570	210
882	1572	208
883	1573	206
884	1575	204
885	1577	202
886	1578	201
887	1580	199
888	1582	197
889	1583	195
890	1585	193
891	1586	192
892	1588	190
893	1589	188
894	1591	186
895	1593	184
896	1594	183
897	1596	181
898	1598	179
899	1599	177
900	1601	175
901	1602	174
902	1604	172
903	1606	170
904	1607	168
905	1609	166
906	1610	165
907	1612	163
908	1613	161
909	1615	159
910	1616	157
911	1618	156
912	1620	154
913	1621	152
914	1623	150
915	1624	148
916	1626	147
917	1628	145
918	1629	143
919	1631	141
920	1632	140
921	1634	138
922	1636	136
923	1637	134
924	1639	132
925	1640	131
926	1642	129
927	1644	127
928	1645	125
929	1647	123
930	1649	122
931	1651	120
932	1653	118
933	1654	116
934	1656	115
935	1659	113
936	1660	111
937	1662	109
938	1663	108
939	1665	106
940	1667	104
941	1668	102
942	1670	100
943	1672	99
944	1674	97
945	1675	95
946	1677	93
947	1678	92
948	1680	90
949	1681	88
950	1683	86
951	1685	84
952	1686	83
953	1688	81
954	1689	79
955	1691	77
956	1693	76
957	1694	74
958	1696	72
959	1697	70
960	1699	68
961	1700	67
962	1702	65
963	1704	63
964	1705	61
965	1707	60
966	1709	58
967	1711	56
968	1713	54
969	1714	53
970	1716	51
971	1718	49
972	1720	47
973	1722	45
974	1723	44
975	1725	42
976	1726	40
977	1728	38
978	1729	37
979	1731	35
980	1732	33
981	1734	31
982	1736	30
983	1738	28
984	1739	26
985	1741	24
986	1742	22
987	1744	21
988	1745	19
989	1747	17
990	1748	15
991	1750	14
992	1752	12
993	1754	10
994	1755	8
995	1757	7
996	1758	5
997	1760	3
998	1761	1
999	1763	0
